userName,score,at,content
Noviana Anggraini,3,2023-08-13 17:56:11,Limit gopaylater dengan update apk terbaru minim sekali.
Fajar Jafar,5,2023-08-13 17:53:02,inih sangat bagusekali saya suka
Zella cory,1,2023-08-13 17:52:51,Sekarang Tidak bisa pantau lewat pata saat gofood perjalanan
Harry Akmal,1,2023-08-13 17:49:40,Makin Kemari Layanan untuk Gopaylater nya makin parah Awal Pemakaian lancarlancar Dan Ga Pernah telat aja pas ganti Nama perusahaan didata ulang eh malah GA dapat fasilitas Gopaylater nya Sangat mengecewakan
Ali Hasan,5,2023-08-13 17:46:00,Mantap gojek
Music Entertainment,1,2023-08-13 17:45:37,Buka aplikasi aja lama banget si aplikasi error update doang iya tiap bulan tapi error buat cepet² buka aplikasi lama x
Angel Greene,5,2023-08-13 17:43:25,love this apps.. better than the other Green and yellow 😍
Ghibran Islam,5,2023-08-13 17:41:43,"Cukup baguslah, terus ditingkatkan lagi ya..."
Mukhlis Mj Bosa,5,2023-08-13 17:41:10,Mantap
Mus Tofa,5,2023-08-13 17:39:01,Aplikasi yg sangat bagus untuk perjalan
mahmud bahana,1,2023-08-13 17:36:07,Gopay gagal
salsa bella,2,2023-08-13 17:35:07,"Kenapa sudah masuk apknya malah ada tulisan anda keluar dari akun,padahal sudah daftar dan lain sebagainya"
ノビド サトリオNovid Satrio,4,2023-08-13 17:33:00,Kok metode top up di indomaret hilang ya? Ada apa ini?
BomBom,3,2023-08-13 17:32:16,Kenapa layanan Gopay Pinjam saya tidak bisa di gunakan lagi setelah saya lunasi semua angsuran saya. Tolong Kepada Pihat GOJEK yang Terhormat mohon di kaji ulang Gopay Pinjam saya.
Sutiyono Amin,5,2023-08-13 17:31:59,Mohon diperbaiki GPS karena didlm kita menjemput penumpang GPS driver sering tidak bergerak
Muyassir,5,2023-08-13 17:27:31,"Bisa belanja pulsa,token listrik"
hafni tya,5,2023-08-13 17:27:03,👍
Yudo Widiyanto,5,2023-08-13 17:14:37,Thanks Bro
Muhammad Deyanta Hafidz Iraqi,5,2023-08-13 17:13:46,Sangat membantu. Mohon banyakin lagi promonya
Hp Samsung,5,2023-08-13 17:09:35,Sangat membantu
Savera Anastya,1,2023-08-13 17:08:02,"Gak bisa dibuka apk go jek saya,internet tidak terhubung terus"
Neng Paitah,5,2023-08-13 17:07:51,Oke bgt sangat membantu
Byan Satya,1,2023-08-13 17:06:03,"Saya top up pin udh bener tapi gk ad jaringan terus,habis itu tiba² gagal sendiri"
agung sudarmono,5,2023-08-13 17:01:36,Lebih bagus
